model,animal,concept_token_id,delta_logit_concept_observed,delta_logit_concept_predicted,alignment_cos_deltaR_Uc,alpha_hat,spearman_coupling_vs_number_delta,spearman_pvalue,pearson_coupling_vs_number_delta,pearson_pvalue,r2_coupling_vs_number_delta,top_increased_number,top_increased_number_delta_logit
base,hawk,76920,7.5007829666137695,7.500776290893555,0.16935226476187007,6.993423048865025,0.001442982504812722,0.9616993317083409,-0.006756267510354519,0.8220986723899841,4.564714981825091e-05,673,3.1564812660217285
base,crow,9460,8.971742630004883,8.9717435836792,0.18804706915861782,6.865324485023163,0.15714626564647544,1.4217268690529485e-07,0.15634800493717194,1.6467082275539724e-07,0.02444469928741455,427,2.777578592300415
base,robin,99685,8.780712127685547,8.780689239501953,0.2009431634119053,8.72308238529518,0.06842157712712757,0.022626548992262952,0.033193595707416534,0.26917776465415955,0.0011018147924914956,392,3.422499656677246
base,duck,37085,6.230405807495117,6.230382919311523,0.1607651454670093,6.635723629416437,0.16879963774409756,1.5301139335852716e-08,0.14575588703155518,1.0787878181872657e-06,0.021244779229164124,522,2.5722169876098633
base,goose,63237,6.784730911254883,6.784730911254883,0.1550310250199296,5.986114267888945,0.1146133724819366,0.0001297937110115503,0.12165367603302002,4.8315516323782504e-05,0.014799617230892181,670,3.3989107608795166
base,turkey,45405,7.195411682128906,7.195409774780273,0.2032207087464025,8.475199434297801,-0.0032535074237080327,0.9137782158960127,-0.04370174556970596,0.14565494656562805,0.0019098425982519984,92,2.430908441543579
base,chicken,16553,6.236486434936523,6.236479759216309,0.18693906445913994,7.879963350107433,0.2573061882992335,3.039093135743423e-18,0.240341454744339,4.753899889268652e-16,0.05776401609182358,653,2.329847812652588
base,pigeon,93644,6.780185699462891,6.78018045425415,0.16330979351243627,6.374254663210042,-0.03686031021155877,0.21978656762423848,-0.06693797558546066,0.025738343596458435,0.004480692557990551,522,3.2299623489379883
base,lion,40132,4.534751892089844,4.534740447998047,0.12091148268690076,4.77870025175503,-0.06461994333861773,0.03133869628477912,-0.09238032251596451,0.002063584979623556,0.008534124121069908,07,2.6891889572143555
base,tiger,52835,4.663797378540039,4.663796424865723,0.1449208583768778,5.741482032894792,-0.15381286380045406,2.612801025979269e-07,-0.19085809588432312,1.449405317988095e-10,0.036426812410354614,653,2.791476249694824
base,bear,11984,5.271270751953125,5.27126407623291,0.11974855951847292,4.125173497053735,-0.08341674807940912,0.005421108070870997,-0.07740002125501633,0.00988936796784401,0.005990763194859028,190,2.548539638519287
base,wolf,37642,5.6607666015625,5.660750865936279,0.15654068504284635,6.5014944553342255,-0.04627801605008794,0.12333687731142438,-0.05765607953071594,0.054814912378787994,0.0033242234494537115,87,2.9705495834350586
base,fox,39935,5.972282409667969,5.972286224365234,0.1640239901153169,6.1552277149502785,-0.03817829836989012,0.20372732651493253,-0.07704968005418777,0.010229724459350109,0.0059366533532738686,009,2.427957534790039
base,deer,39149,6.097200393676758,6.097173690795898,0.15767558716850982,7.408505032368119,-0.04344028339421567,0.14808260523751715,-0.09096645563840866,0.0024167418014258146,0.008274896070361137,769,3.232945442199707
base,elk,77942,8.086591720581055,8.086572647094727,0.18769908949996658,8.83656032042743,-0.15211270207029476,3.546144710341236e-07,-0.17126241326332092,9.360064723296091e-09,0.029330814257264137,81,3.468932628631592
base,goat,54392,6.181062698364258,6.181049346923828,0.1663874489483441,7.24958217351132,-0.025377484254895895,0.3982914922688293,-0.0156841017305851,0.6016799807548523,0.00024599104654043913,670,3.1923539638519287
base,sheep,33012,6.01948356628418,6.0194902420043945,0.15007249095774355,6.989162019918311,0.10155806429813712,0.0007026888320842017,0.10140971094369888,0.0007155489875003695,0.01028392929583788,791,3.9009933471679688
base,cow,19923,6.1189775466918945,6.118969917297363,0.146920890403797,6.105141914317221,0.0036304164133177876,0.9038356067621407,-0.034337762743234634,0.25301051139831543,0.0011790819698944688,411,2.3686370849609375
base,horse,15580,5.236988067626953,5.237006187438965,0.13887382601409176,6.1203967659253,-0.0182060177114146,0.5445608752487017,-0.03147321194410324,0.2947958707809448,0.0009905630722641945,411,2.479506492614746
base,pig,24623,6.20252799987793,6.2025532722473145,0.1631881623675786,6.421512667262708,-0.009482411941142936,0.7523262848795977,-0.009704157710075378,0.7467315793037415,9.41706748562865e-05,653,2.559138774871826
base,dog,5679,3.1182079315185547,3.1182079315185547,0.09307965880635612,3.1491236423603155,-0.11788616143801889,8.25468387294077e-05,-0.12156151235103607,4.8961803258862346e-05,0.014777201227843761,023,2.1447625160217285
base,cat,8415,3.324617385864258,3.324629545211792,0.09238986531122732,3.0515655117329565,0.0412200599096295,0.16995426850541742,0.04684636369347572,0.11879219859838486,0.002194581786170602,023,3.012834310531616
base,rat,11494,6.15087890625,6.150897979736328,0.1679135442871614,6.030880086431585,0.16315071470103656,4.598450377752189e-08,0.1608782857656479,7.083976072408404e-08,0.025881823152303696,131,2.839724540710449
base,mouse,8814,5.609783172607422,5.60977840423584,0.16636476889567295,5.807260088266177,0.23504529723315717,2.1304762456871583e-15,0.2207154631614685,1.0290144523148262e-13,0.048715315759181976,042,2.4938013553619385
base,rabbit,39824,5.036188125610352,5.036196708679199,0.14691102019088792,5.644141321694932,0.0397546546748843,0.1856614100248853,0.006734758615493774,0.8226574063301086,4.535697371466085e-05,979,2.6867337226867676
base,bat,16120,6.43678092956543,6.4367852210998535,0.16301307999907438,5.6913593806242,0.10240275313081962,0.0006334790528177144,0.10983525216579437,0.0002460670075379312,0.012063782662153244,027,2.6022372245788574
base,monkey,39803,4.726631164550781,4.726629734039307,0.13478972890638538,5.079162095077087,0.15647671607996225,1.6082375023178782e-07,0.1289520561695099,1.636873639654368e-05,0.016628632321953773,653,2.658405303955078
base,panda,89322,5.315086364746094,5.315096378326416,0.12549642071297262,5.643893962850044,-0.15999443094944352,8.366894626760936e-08,-0.1910640448331833,1.3839125678760666e-10,0.03650546818971634,052,3.197906494140625
